id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__UCG-002	g__UCG-002	1.33349562580248	g__UCG-002	0.4043	magenta	-0.0633	-0.175	-0.0343	-0.128	-0.0772	0.0965	0.0376	-0.132	0.16	-0.137
s__Parabramis_pekinensis	s__Parabramis_pekinensis	2.80723485504838	s__Parabramis_pekinensis	0.5767	magenta	-0.19	-0.152	-0.0698	-0.15	-0.0973	0.0956	0.0458	-0.165	0.274	0.181
g__Bangia	g__Bangia	73.1014927599405	g__Bangia	0.9968	magenta										
g__Wildemania	g__Wildemania	21.718491420634397	g__Wildemania	0.8129	magenta										
g__Metagoniolithon	g__Metagoniolithon	73.1014927599405	g__Metagoniolithon	0.9968	magenta										
g__Amphiplexia	g__Amphiplexia	15.1909882027265	g__Amphiplexia	0.7341	magenta										
g__Antrocentrum	g__Antrocentrum	73.1014927599405	g__Antrocentrum	0.9968	magenta										
g__Austroclonium	g__Austroclonium	73.1014927599405	g__Austroclonium	0.9968	magenta										
g__Pterocladiophila	g__Pterocladiophila	73.1014927599405	g__Pterocladiophila	0.9968	magenta										
g__Polyopes	g__Polyopes	73.1014927599405	g__Polyopes	0.9968	magenta										
g__Pseudoralfsia	g__Pseudoralfsia	73.1014927599405	g__Pseudoralfsia	0.9968	magenta										
g__Lithoderma	g__Lithoderma	73.1014927599405	g__Lithoderma	0.9968	magenta										
g__Amphiprora	g__Amphiprora	73.1014927599405	g__Amphiprora	0.9968	magenta										
g__Azadinium	g__Azadinium	73.1014927599405	g__Azadinium	0.9968	magenta										
g__norank_f__Acidobacteriaceae_Subgroup_1	g__norank_f__Acidobacteriaceae_Subgroup_1	73.1014927599405	g__norank_f__Acidobacteriaceae_Subgroup_1	0.9968	magenta										
g__norank_c__Subgroup_20	g__norank_c__Subgroup_20	73.1014927599405	g__norank_c__Subgroup_20	0.9968	magenta										
g__Atopobium	g__Atopobium	73.1014927599405	g__Atopobium	0.9968	magenta										
g__Marinoscillum	g__Marinoscillum	73.1014927599405	g__Marinoscillum	0.9968	magenta										
g__norank_f__S15A-MN91	g__norank_f__S15A-MN91	73.1014927599405	g__norank_f__S15A-MN91	0.9968	magenta										
g__norank_f__Bacteriovoracaceae	g__norank_f__Bacteriovoracaceae	73.1014927599405	g__norank_f__Bacteriovoracaceae	0.9968	magenta										
g__norank_f__WCHB1-02	g__norank_f__WCHB1-02	73.1014927599405	g__norank_f__WCHB1-02	0.9968	magenta										
g__norank_o__FS117-23B-02	g__norank_o__FS117-23B-02	73.1014927599405	g__norank_o__FS117-23B-02	0.9968	magenta										
g__Thermosporothrix	g__Thermosporothrix	73.1014927599405	g__Thermosporothrix	0.9968	magenta										
g__Deferrisoma	g__Deferrisoma	12.883421614407	g__Deferrisoma	0.7319	magenta										
g__Trichlorobacter	g__Trichlorobacter	73.1014927599405	g__Trichlorobacter	0.9968	magenta										
g__Sarcina	g__Sarcina	73.1014927599405	g__Sarcina	0.9968	magenta										
