id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Dyadobacter	g__Dyadobacter	7.21863213594794	g__Dyadobacter	0.6571	brown	-0.0401	0.141	-0.0425	0.0023	0.109	-0.147	0.0218	-0.0557	-0.0024	-0.142
g__Echinogammarus	g__Echinogammarus	3.8043103748054397	g__Echinogammarus	0.5837	brown	0.236	0.131	-0.0414	0.0143	-0.0113	-0.0767	0.0287	0.123	-0.0647	-0.103
g__Edaphobaculum	g__Edaphobaculum	2.42447574620643	g__Edaphobaculum	0.5203	brown	-0.181	0.0994	-0.058	-0.104	-0.0699	0.012	0.169	-0.16	0.0522	-0.234
g__Edenia	g__Edenia	1.22942748387214	g__Edenia	0.4682	brown	-0.179	-0.228	-0.0938	-0.141	-0.147	0.0695	0.0942	-0.246	0.129	0.07
g__Elattoneura	g__Elattoneura	0.646352984225542	g__Elattoneura	0.3768	brown	-0.15	0.175	-0.0112	-0.0568	-0.13	-0.332	-0.28	0.219	-0.0057	-0.0968
g__Emericellopsis	g__Emericellopsis	3.35340979555133	g__Emericellopsis	0.5867	brown	-0.0217	-0.296	-0.0036	-0.119	-0.292	0.164	-0.0169	-0.191	0.118	-0.0125
g__Empedobacter	g__Empedobacter	18.387354789352397	g__Empedobacter	0.7631	brown	0.0699	0.108	-0.0423	-0.0212	0.0308	-0.105	-0.0642	-0.0611	-0.0323	-0.102
g__Erythrobacter	g__Erythrobacter	22.3178381185148	g__Erythrobacter	0.7848	brown	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__Eugorgia	g__Eugorgia	4.16635655938087	g__Eugorgia	0.5928	brown	-0.101	0.24	-0.0472	-0.0305	-0.0384	0.0553	0.147	-0.0912	-0.0687	-0.178
g__FFCH7168	g__FFCH7168	14.384888580104999	g__FFCH7168	0.7177	brown	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Filimonas	g__Filimonas	4.69777803676687	g__Filimonas	0.5982	brown	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Flavitalea	g__Flavitalea	3.02497160751431	g__Flavitalea	0.5577	brown	0.0292	0.154	-0.0483	-0.0582	0.112	-0.171	-0.0513	-0.0478	-0.0129	-0.0843
g__Galaxaura	g__Galaxaura	5.66477674818396	g__Galaxaura	0.5996	brown	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Gloeochaete	g__Gloeochaete	1.62475682305149	g__Gloeochaete	0.4456	brown	-0.336	0.278	-0.065	-0.105	-0.0723	-0.0781	0.117	-0.113	-0.0116	0.446
g__Gongronella	g__Gongronella	4.989001635548361	g__Gongronella	0.6233	brown	-0.245	-0.297	0.287	-0.269	-0.265	0.164	-0.0172	-0.229	0.423	0.0089
g__Goniomonas	g__Goniomonas	1.2316153575985702	g__Goniomonas	0.4665	brown	-0.233	0.223	-0.0487	-0.0798	-0.0675	-0.177	-0.0824	0.0086	-0.0701	0.244
